unique_id,disbursement_date,loan_investment_amount,lender_insurance_premium,metro_type,LMI_type,revenue,full_time_employees,naics_code,jobs_created,lender_type_category,optional_primary_use_of_funds,optional_revenue_yr_confirmed,optional_stage,active_status,support_amount,FICO_Score,Loan_default_probabilities,Risk_Level,FICO_Class,Loan_Prediction
AL_2013_LGP_37,6/25/2013,734472.0,0.0,Metro,LMI,6585000.0,43.0,238910,1.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,367236.0,802,0.16195582,Moderate,Very Good,0
AL_2013_LGP_39,6/27/2013,1000000.0,0.0,Metro,LMI,5000000.0,114.0,812320,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,500000.0,802,0.16195582,Moderate,Very Good,0
AL_2013_LGP_40,6/28/2013,100000.0,0.0,Metro,Non-LMI,400000.0,20.0,621610,5.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,50000.0,866,0.055246506,Low,Very Good,0
AL_2013_LGP_41,7/2/2013,50000.0,0.0,Non-Metro,LMI,10093618.0,40.0,236116,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,25000.0,802,0.16195582,Moderate,Very Good,0
AL_2013_LGP_44,7/26/2013,450000.0,0.0,Metro,Non-LMI,1786571.0,30.0,541850,13.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,225000.0,711,0.31418076,Moderate,Very Good,0
AL_2013_LGP_48,8/27/2013,494116.89,0.0,Metro,LMI,53904.0,155.0,238910,3.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,247058.45,802,0.16195582,Moderate,Very Good,0
AL_2013_LGP_54,9/19/2013,2334000.0,0.0,Metro,Non-LMI,4413368.0,50.0,332313,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,1167000.0,802,0.16195582,Moderate,Very Good,0
AL_2013_LGP_55,9/19/2013,100000.0,0.0,Metro,Non-LMI,4413368.0,50.0,332313,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,50000.0,802,0.16195582,Moderate,Very Good,0
AL_2013_LGP_64,11/7/2013,1350000.0,0.0,Metro,LMI,23471000.0,115.0,442110,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,675000.0,802,0.16195582,Moderate,Very Good,0
AL_2013_LGP_68,11/12/2013,262000.0,0.0,Metro,LMI,2277579.0,22.0,541330,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,131000.0,802,0.16195582,Moderate,Very Good,0
AL_2013_LGP_71,11/14/2013,100000.0,0.0,Non-Metro,Non-LMI,555804.0,20.0,238310,5.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,50000.0,866,0.055246506,Low,Very Good,0
AL_2014_LGP_3,1/8/2014,1000000.0,0.0,Metro,Non-LMI,0.0,18.0,332312,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,500000.0,802,0.16195582,Moderate,Very Good,0
AL_2014_LGP_16,2/12/2014,191000.0,0.0,Metro,Non-LMI,2058000.0,32.0,488410,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,95500.0,802,0.16195582,Moderate,Very Good,0
AL_2014_LGP_19,2/28/2014,75000.0,0.0,Non-Metro,Non-LMI,1212122.0,20.0,323111,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,37500.0,802,0.16195582,Moderate,Very Good,0
AL_2014_LGP_31,4/3/2014,298000.0,0.0,Metro,Non-LMI,1032129.0,20.0,722513,10.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,149000.0,626,0.4566288,Moderate,Good,0
AL_2014_LGP_34,4/10/2014,1104000.0,0.0,Non-Metro,LMI,4408000.0,15.0,321213,3.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,552000.0,802,0.16195582,Moderate,Very Good,0
AL_2014_LGP_37,4/17/2014,34026.0,0.0,Non-Metro,LMI,2914789.0,37.0,484121,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,17013.0,802,0.16195582,Moderate,Very Good,0
AL_2014_LGP_43,5/13/2014,200000.0,0.0,Metro,Non-LMI,3917000.0,37.0,424490,3.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,100000.0,802,0.16195582,Moderate,Very Good,0
AL_2014_LGP_51,5/22/2014,5000000.0,0.0,Metro,Non-LMI,22868574.0,50.0,423310,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,2500000.0,802,0.16195582,Moderate,Very Good,0
AL_2014_LGP_61,7/7/2014,3000000.0,0.0,Non-Metro,Non-LMI,13440288.0,74.0,237310,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,1500000.0,802,0.16195582,Moderate,Very Good,0
AL_2014_LGP_62,7/7/2014,500000.0,0.0,Non-Metro,Non-LMI,13440288.0,74.0,237310,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,250000.0,802,0.16195582,Moderate,Very Good,0
AL_2014_LGP_65,7/11/2014,2261941.21,0.0,Metro,LMI,55379565.0,150.0,238910,6.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,1130970.6,485,0.69043744,High,Fair,1
AL_2014_LGP_66,7/16/2014,58511.96,0.0,Metro,LMI,55379565.0,150.0,238910,5.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,29255.98,866,0.055246506,Low,Very Good,0
AL_2014_LGP_67,7/16/2014,179096.3,0.0,Non-Metro,Non-LMI,478093.0,15.0,624410,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,89548.15,802,0.16195582,Moderate,Very Good,0
AL_2014_LGP_75,8/14/2014,461000.0,0.0,Non-Metro,LMI,2788662.0,50.0,722511,50.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,230500.0,852,0.07946097,Low,Very Good,0
AL_2014_LGP_86,9/12/2014,2200000.0,0.0,Metro,Non-LMI,1066000.0,18.0,624410,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,1110000.0,802,0.16195582,Moderate,Very Good,0
AL_2014_LGP_87,9/12/2014,50000.0,0.0,Non-Metro,LMI,505762.0,21.0,237310,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,25000.0,802,0.16195582,Moderate,Very Good,0
AL_2014_LGP_88,9/16/2014,850000.0,0.0,Metro,Non-LMI,5773000.0,17.0,442210,5.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,425000.0,866,0.055246506,Low,Very Good,0
AL_2014_LGP_89,9/16/2014,750000.0,0.0,Metro,Non-LMI,5773000.0,17.0,442210,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,375000.0,802,0.16195582,Moderate,Very Good,0
AL_2014_LGP_96,10/2/2014,203000.0,0.0,Non-Metro,Non-LMI,0.0,25.0,623312,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,101500.0,802,0.16195582,Moderate,Very Good,0
AL_2014_LGP_100,10/6/2014,500000.0,0.0,Metro,LMI,353754.0,45.0,541310,27.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,250000.0,779,0.20032266,Moderate,Very Good,0
AL_2014_LGP_102,10/14/2014,200000.0,0.0,Metro,Non-LMI,3442995.0,40.0,332710,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,100000.0,802,0.16195582,Moderate,Very Good,0
AL_2014_LGP_104,10/16/2014,2500000.0,0.0,Metro,Non-LMI,102780000.0,190.0,447110,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,1250000.0,802,0.16195582,Moderate,Very Good,0
AL_2014_LGP_105,10/16/2014,1500000.0,0.0,Metro,Non-LMI,102780000.0,190.0,447110,10.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,750000.0,626,0.4566288,Moderate,Good,0
AL_2014_LGP_109,10/24/2014,50000.0,0.0,Non-Metro,LMI,505762.0,21.0,237310,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,25000.0,802,0.16195582,Moderate,Very Good,0
AL_2014_LGP_124,12/3/2014,100000.0,0.0,Non-Metro,Non-LMI,3541949.0,35.0,445230,10.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,50000.0,626,0.4566288,Moderate,Good,0
AL_2015_LGP_3,1/2/2015,800000.0,0.0,Non-Metro,Non-LMI,1000000.0,15.0,722511,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,400000.0,802,0.16195582,Moderate,Very Good,0
AL_2015_LGP_7,1/13/2015,500000.0,0.0,Metro,LMI,11948000.0,100.0,423440,5.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,250000.0,866,0.055246506,Low,Very Good,0
AL_2015_LGP_25,3/13/2015,105000.0,0.0,Metro,Non-LMI,2144733.0,22.0,424810,4.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,52500.0,859,0.068254545,Low,Very Good,0
AL_2015_LGP_31,3/24/2015,300000.0,0.0,Metro,LMI,2748214.0,46.0,722513,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,150000.0,802,0.16195582,Moderate,Very Good,0
AL_2015_LGP_44,4/29/2015,120000.0,0.0,Metro,LMI,919297.0,15.0,811219,4.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,60000.0,859,0.068254545,Low,Very Good,0
AL_2015_LGP_46,5/1/2015,75000.0,0.0,Metro,Non-LMI,3404000.0,37.0,424490,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,37500.0,802,0.16195582,Moderate,Very Good,0
AL_2015_LGP_52,5/21/2015,836728.0,0.0,Non-Metro,LMI,3374481.0,35.0,484121,3.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,418364.0,802,0.16195582,Moderate,Very Good,0
AL_2015_LGP_55,5/29/2015,150000.0,0.0,Non-Metro,Non-LMI,2290115.0,20.0,332710,4.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,50000.0,859,0.068254545,Low,Very Good,0
AL_2015_LGP_61,7/1/2015,116720.0,0.0,Metro,LMI,3616137.97,49.0,621498,10.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,58360.0,626,0.4566288,Moderate,Good,0
AL_2015_LGP_65,7/14/2015,150000.0,0.0,Metro,LMI,3256000.0,20.0,442299,5.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,75000.0,866,0.055246506,Low,Very Good,0
AL_2015_LGP_68,7/21/2015,1415000.0,0.0,Metro,Non-LMI,7245677.0,90.0,424930,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,707500.0,802,0.16195582,Moderate,Very Good,0
AL_2015_LGP_69,7/23/2015,200000.0,0.0,Metro,LMI,3494000.0,18.0,531110,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,100000.0,802,0.16195582,Moderate,Very Good,0
AL_2015_LGP_70,7/23/2015,275000.0,0.0,Metro,Non-LMI,3000000.0,30.0,722511,85.0,Credit Union,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,137500.0,674,0.37592375,Moderate,Good,0
AL_2015_LGP_72,7/24/2015,120949.73,0.0,Non-Metro,LMI,362240.0,18.0,488410,1.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,60000.0,802,0.16195582,Moderate,Very Good,0
AL_2015_LGP_86,8/20/2015,260000.0,0.0,Metro,LMI,3616137.97,49.0,621498,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,130000.0,802,0.16195582,Moderate,Very Good,0
AL_2015_LGP_90,8/25/2015,100000.0,0.0,Metro,LMI,919297.0,15.0,811219,5.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,50000.0,866,0.055246506,Low,Very Good,0
AL_2015_LGP_94,9/4/2015,750000.0,0.0,Metro,LMI,7162728.0,48.0,238150,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,375000.0,802,0.16195582,Moderate,Very Good,0
AL_2015_LGP_97,9/21/2015,900000.0,0.0,Metro,Non-LMI,6990947.0,17.0,442210,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,450000.0,802,0.16195582,Moderate,Very Good,0
AL_2015_LGP_105,10/1/2015,100000.0,0.0,Non-Metro,Non-LMI,1985239.0,20.0,423390,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,50000.0,802,0.16195582,Moderate,Very Good,0
AL_2015_LGP_108,10/1/2015,5000000.0,0.0,Metro,LMI,33652190.0,58.0,441110,10.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,2500000.0,626,0.4566288,Moderate,Good,0
AL_2015_LGP_113,10/14/2015,120000.0,0.0,Non-Metro,Non-LMI,0.0,47.0,445110,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,60000.0,802,0.16195582,Moderate,Very Good,0
AL_2015_LGP_124,11/3/2015,412500.0,0.0,Metro,Non-LMI,2096606.0,40.0,238220,4.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,206250.0,859,0.068254545,Low,Very Good,0
AL_2015_LGP_132,11/18/2015,1939650.53,0.0,Non-Metro,Non-LMI,19652142.0,15.0,811192,2.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,969825.27,802,0.16195582,Moderate,Very Good,0
AL_2015_LGP_138,11/19/2015,325000.0,0.0,Metro,Non-LMI,2096606.0,40.0,238220,7.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,162500.0,452,0.74583143,High,Fair,1
AL_2015_LGP_141,11/25/2015,500000.0,0.0,Metro,LMI,5889000.0,45.0,238990,8.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,250000.0,410,0.8153779,Very High,Fair,1
AL_2015_LGP_149,12/17/2015,150000.0,0.0,Metro,LMI,3494000.0,18.0,238110,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,75000.0,802,0.16195582,Moderate,Very Good,0
AL_2016_LGP_1,1/12/2016,100000.0,0.0,Metro,LMI,3494000.0,18.0,238110,7.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,50000.0,452,0.74583143,High,Fair,1
AL_2016_LGP_20,3/11/2016,300000.0,0.0,Non-Metro,Non-LMI,9126000.0,40.0,446130,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,150000.0,802,0.16195582,Moderate,Very Good,0
AL_2016_LGP_23,3/14/2016,168000.0,0.0,Metro,LMI,5900000000.0,27.0,541990,5.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,84000.0,866,0.055246506,Low,Very Good,0
AL_2016_LGP_25,3/14/2016,355000.0,0.0,Metro,Non-LMI,0.0,23.0,423610,8.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,177500.0,410,0.8153779,Very High,Fair,1
AL_2016_LGP_40,4/18/2016,543750.0,0.0,Non-Metro,Non-LMI,0.0,20.0,722511,2.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,271875.0,802,0.16195582,Moderate,Very Good,0
AL_2016_LGP_43,4/19/2016,700000.0,0.0,Metro,LMI,9200000.0,119.0,321992,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,350000.0,802,0.16195582,Moderate,Very Good,0
AL_2016_LGP_47,4/22/2016,3277472.0,0.0,Metro,Non-LMI,6248640.0,45.0,238990,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,1638736.0,802,0.16195582,Moderate,Very Good,0
AL_2016_LGP_56,5/10/2016,150000.0,0.0,Metro,LMI,5900000.0,27.0,541990,4.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,75000.0,859,0.068254545,Low,Very Good,0
AL_2016_LGP_60,5/23/2016,607500.0,0.0,Metro,LMI,1357919.0,18.0,334511,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,303750.0,802,0.16195582,Moderate,Very Good,0
AL_2016_LGP_62,5/24/2016,920000.0,0.0,Metro,Non-LMI,8161410.0,20.0,445110,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,460000.0,802,0.16195582,Moderate,Very Good,0
AL_2016_LGP_71,6/8/2016,200000.0,0.0,Metro,LMI,3213660.0,28.0,532490,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,100000.0,802,0.16195582,Moderate,Very Good,0
AL_2016_LGP_76,6/10/2016,950000.0,0.0,Metro,Non-LMI,4020000.0,24.0,621999,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,475000.0,802,0.16195582,Moderate,Very Good,0
AL_2016_LGP_78,6/10/2016,165000.0,0.0,Metro,Non-LMI,3404000.0,30.0,424490,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,82500.0,802,0.16195582,Moderate,Very Good,0
AL_2016_LGP_79,6/21/2016,100000.0,0.0,Non-Metro,Non-LMI,857745.0,15.0,561740,10.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,50000.0,626,0.4566288,Moderate,Good,0
AL_2016_LGP_87,6/30/2016,212500.0,0.0,Non-Metro,Non-LMI,798145.0,21.0,624410,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,106250.0,802,0.16195582,Moderate,Very Good,0
AL_2016_LGP_94,7/6/2016,150000.0,0.0,Non-Metro,Non-LMI,2323242.0,24.0,332710,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,75000.0,802,0.16195582,Moderate,Very Good,0
AL_2016_LGP_99,7/15/2016,500000.0,0.0,Metro,LMI,1951000.0,28.0,238990,28.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,250000.0,880,0.03302781,Low,Very Good,0
AL_2016_LGP_102,7/21/2016,100000.0,0.0,Metro,LMI,2263190.0,63.0,713940,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,50000.0,802,0.16195582,Moderate,Very Good,0
AL_2016_LGP_110,7/29/2016,150000.0,0.0,Metro,Non-LMI,0.0,45.0,722511,5.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,75000.0,866,0.055246506,Low,Very Good,0
AL_2016_LGP_117,8/12/2016,4000000.0,0.0,Metro,LMI,45579694.0,70.0,212112,15.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,2000000.0,593,0.51065546,Moderate,Fair,1
AL_2016_LGP_121,8/16/2016,880000.0,0.0,Metro,Non-LMI,0.0,20.0,722513,30.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,440000.0,880,0.03302781,Low,Very Good,0
AL_2016_LGP_126,8/29/2016,750000.0,0.0,Metro,LMI,7919611.0,48.0,327211,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,375000.0,802,0.16195582,Moderate,Very Good,0
AL_2016_LGP_140,9/22/2016,1000000.0,0.0,Metro,LMI,2386000.0,25.0,722511,15.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,500000.0,593,0.51065546,Moderate,Fair,1
AL_2016_LGP_141,9/28/2016,325000.0,0.0,Non-Metro,Non-LMI,0.0,40.0,722511,75.0,Credit Union,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,162500.0,674,0.37592375,Moderate,Good,0
AL_2016_LGP_143,10/4/2016,1000000.0,0.0,Non-Metro,LMI,0.0,26.0,311421,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,500000.0,802,0.16195582,Moderate,Very Good,0
AL_2016_LGP_147,10/6/2016,1500000.0,0.0,Metro,Non-LMI,5963901.0,67.0,311520,50.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,750000.0,852,0.07946097,Low,Very Good,0
AL_2016_LGP_152,10/27/2016,290000.0,0.0,Non-Metro,Non-LMI,3568990.0,16.0,488330,6.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,145000.0,485,0.69043744,High,Fair,1
AL_2016_LGP_159,11/14/2016,1250000.0,0.0,Metro,LMI,310177757.0,55.0,238150,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,625000.0,802,0.16195582,Moderate,Very Good,0
AL_2016_LGP_161,11/17/2016,395000.0,0.0,Metro,Non-LMI,2073219.0,25.0,561740,4.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,197500.0,859,0.068254545,Low,Very Good,0
AL_2016_LGP_165,11/29/2016,2000000.0,0.0,Non-Metro,Non-LMI,2681586.0,32.0,712130,103.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,1000000.0,674,0.37592375,Moderate,Good,0
AL_2016_LGP_166,11/29/2016,725000.0,0.0,Metro,Non-LMI,2591445.0,100.0,812199,12.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,362500.0,780,0.1992509,Moderate,Very Good,0
AL_2016_LGP_168,12/2/2016,142000.0,0.0,Metro,Non-LMI,3442995.0,40.0,332710,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,71000.0,802,0.16195582,Moderate,Very Good,0
AL_2016_LGP_171,12/14/2016,100000.0,0.0,Non-Metro,Non-LMI,1668941.0,15.0,326191,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,50000.0,802,0.16195582,Moderate,Very Good,0
AL_2016_LGP_173,12/21/2016,400000.0,0.0,Non-Metro,LMI,10200000.0,39.0,447190,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,200000.0,802,0.16195582,Moderate,Very Good,0
AL_2016_LGP_176,12/23/2016,403700.0,0.0,Non-Metro,Non-LMI,9113000.0,43.0,446130,15.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,201850.0,593,0.51065546,Moderate,Fair,1
AL_2016_LGP_180,12/29/2016,26000.0,0.0,Non-Metro,Non-LMI,2323242.0,24.0,332710,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,13000.0,802,0.16195582,Moderate,Very Good,0
AR_2011_VCP_1,12/30/2011,1250000.0,0.0,Metro,LMI,537600.0,17.0,541990,4.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0,859,0.068254545,Low,Very Good,0
AR_2012_VCP_1,1/24/2012,5000000.0,0.0,Metro,LMI,10132731.0,85.0,454112,0.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0,802,0.16195582,Moderate,Very Good,0
AR_2012_VCP_2,3/28/2012,900000.0,0.0,Metro,Non-LMI,486335.0,23.0,541512,4.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0,859,0.068254545,Low,Very Good,0
